epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3277,0.4789,1.24802,1.13419,0.99261,1,0.995,0.9605,0.32452,0.72222,0.80868,0.000551425,0.000551425,0.000551425
2,119.616,0.48476,0.66422,1.12043,0.99381,1,0.995,0.90957,0.44671,0.52371,0.93545,0.00108517,0.00108517,0.00108517
3,172.938,0.4681,0.53264,1.11277,0.99278,1,0.995,0.84941,0.61334,0.52293,1.00521,0.00159691,0.00159691,0.00159691
4,225.62,0.45406,0.46818,1.09782,0.99277,1,0.995,0.89556,0.50419,0.31522,0.99302,0.00156798,0.00156798,0.00156798
5,277.32,0.44647,0.41498,1.0912,0.99474,1,0.995,0.95934,0.33964,0.30819,0.83035,0.00153497,0.00153497,0.00153497
6,328.906,0.43329,0.37079,1.0864,0.99465,1,0.995,0.959,0.28178,0.23595,0.77931,0.00150197,0.00150197,0.00150197
7,380.322,0.42098,0.35535,1.07284,0.99432,1,0.995,0.8983,0.4327,0.29514,0.90584,0.00146896,0.00146896,0.00146896
8,432.384,0.41718,0.34269,1.07713,0.89203,1,0.995,0.995,0.24625,0.57395,0.81149,0.00143595,0.00143595,0.00143595
9,484.912,0.39955,0.32336,1.05644,0.99447,1,0.995,0.97702,0.26388,0.19447,0.7985,0.00140295,0.00140295,0.00140295
10,538.028,0.39759,0.30541,1.0645,0.9941,1,0.995,0.995,0.27605,0.22666,0.73564,0.00136994,0.00136994,0.00136994
11,589.203,0.38656,0.31216,1.05663,1,1,0.995,0.95882,0.3612,0.18434,0.83875,0.00133693,0.00133693,0.00133693
12,640.383,0.39265,0.29455,1.06012,0.99466,1,0.995,0.94442,0.29622,0.18115,0.8062,0.00130393,0.00130393,0.00130393
13,693.85,0.3861,0.2908,1.05791,0.99437,1,0.995,0.98339,0.28403,0.17993,0.79808,0.00127092,0.00127092,0.00127092
14,758.222,0.39356,0.28536,1.06534,0.99445,1,0.995,0.98377,0.23756,0.19083,0.73915,0.00123791,0.00123791,0.00123791
15,813.855,0.38211,0.27905,1.04689,0.99466,1,0.995,0.92803,0.36567,0.18644,0.85867,0.00120491,0.00120491,0.00120491
16,865.111,0.36912,0.27798,1.04076,0.99467,1,0.995,0.93046,0.38487,0.21526,0.84774,0.0011719,0.0011719,0.0011719
